Naber,Status,WarningValue,AlarmValue,AvgValue,StdValue,Count,Alert
202940,z05-07-04,0.102,0.306,0.07478720024228096,0.009138690040862084,10,0
202940,z05-08-04,0.014,0.042,0.0023017999716103076,0.0009326452197944223,10,0
202940,z05-11-04,0.132,0.396,0.10700970068573952,0.027418357469511444,10,0
202940,z05-12-04,0.005,0.015,0.002941300009842962,0.002978537644770628,10,0
202941,z05-03-04,0.108,0.324,0.058547784973468096,0.009263501140156654,14,0
202941,z05-04-04,0.005,0.015,0.001958785711654595,0.0021024435232930715,14,0
202941,z05-07-04,0.102,0.306,0.08238178438373975,0.0069956647014934,14,0
202941,z05-08-04,0.014,0.042,0.0031929999822750688,0.0018458568416600018,14,0
202941,z05-11-04,0.132,0.396,0.11245714340891157,0.02424848520900696,14,0
202941,z05-12-04,0.005,0.015,0.003230428572611085,0.001327531226901566,14,0
202942,z05-03-04,0.108,0.324,0.0629736002534628,0.010992349542036872,10,0
202942,z05-04-04,0.005,0.015,0.0024377500085392967,0.0008295760821189871,8,0
202942,z05-07-04,0.102,0.306,0.0995569999019305,0.011343051644228505,9,0
202942,z05-08-04,0.014,0.042,0.0035409999675013954,0.002161090584952647,9,0
202942,z05-11-04,0.132,0.396,0.19095022314124638,0.0754367750318741,9,1
202942,z05-12-04,0.005,0.015,0.031996250472730026,0.05299246289320215,8,2
202943,z05-03-04,0.108,0.324,0.16907600313425064,0.038777001202106476,2,1
202943,z05-04-04,0.005,0.015,0.043482000939548016,0.03608400095254183,2,2
202943,z05-07-04,0.102,0.306,0.11675399914383888,0.011763002723455429,2,1
202943,z05-08-04,0.014,0.042,0.014181500300765038,0.005234500393271446,2,1
202943,z05-11-04,0.132,0.396,0.1260560005903244,0.0184440016746521,2,0
202943,z05-12-04,0.005,0.015,0.0027710000285878778,0.00018799991812556982,2,0
202944,z05-03-04,0.108,0.324,0.05539220025142034,0.007569777109046127,15,0
202944,z05-04-04,0.005,0.015,0.002005785707816748,0.0017953367853506146,14,0
202944,z05-07-04,0.102,0.306,0.08505040059487025,0.006529660657404485,15,0
202944,z05-08-04,0.014,0.042,0.003230466658715159,0.0012491207124239625,15,0
202944,z05-11-04,0.132,0.396,0.1420535335938136,0.0487004899818369,15,1
202944,z05-12-04,0.005,0.015,0.01780246675092106,0.028552053475569977,15,2
202945,z05-03-04,0.108,0.324,0.08419718413993164,0.01676360113521317,27,0
