Naber,Status,WarningValue,AlarmValue,AvgValue,StdValue,Count,Alert
202578,z05-03-02,0.893,2.679,0.09943177882168028,0.02662330183873349,9,0
202578,z05-04-02,0.022,0.066,0.0025581111096673543,0.0019251801202605483,9,0
202578,z05-05-02,0.196,0.588,0.0067869999329559505,0.004959924170557906,9,0
202578,z05-06-02,0.065,0.195,0.0013316666623318775,0.001169243621138432,9,0
202578,z05-07-02,0.369,1.107,0.07046600100066927,0.009803662334530281,9,0
202578,z05-08-02,0.021,0.063,0.0027415555474969247,0.001354866312251947,9,0
202578,z05-09-02,0.031,0.093,0.0022558889597550863,0.0013508481578893509,9,0
202578,z05-10-02,0.004,0.012,0.0005060000031436277,0.00021984034668440672,9,0
202578,z05-11-02,0.68,2.04,0.08373455579082172,0.017061299070264636,9,0
202578,z05-12-02,0.041,0.123,0.0022704444903259477,0.0009529006517835495,9,0
202578,z05-13-02,0.32,0.96,0.004773777806096607,0.004977208764400962,9,0
202578,z05-14-02,0.016,0.048,0.0005242222153659289,0.00031576353138970914,9,0
202619,z05-03-02,0.893,2.679,0.05355599895119667,0.0,1,0
202619,z05-04-02,0.022,0.066,0.0014449999434873462,0.0,1,0
202619,z05-05-02,0.196,0.588,0.0007469999836757779,0.0,1,0
202619,z05-06-02,0.065,0.195,0.0002690000110305846,0.0,1,0
202619,z05-07-02,0.369,1.107,0.08063799887895584,0.0,1,0
202619,z05-08-02,0.021,0.063,0.003594999900087714,0.0,1,0
202619,z05-09-02,0.031,0.093,0.0004239999980200082,0.0,1,0
202619,z05-10-02,0.004,0.012,0.000910000002477318,0.0,1,0
202619,z05-11-02,0.68,2.04,0.08835999667644501,0.0,1,0
202619,z05-12-02,0.041,0.123,0.0003459999861661345,0.0,1,0
202619,z05-13-02,0.32,0.96,0.004466999787837267,0.0,1,0
202619,z05-14-02,0.016,0.048,0.0003239999932702631,0.0,1,0
202621,z05-03-02,0.893,2.679,0.12051999568939209,0.03456756494062188,3,0
202621,z05-04-02,0.022,0.066,0.0022183333639986813,0.0011397813650154732,3,0
202621,z05-05-02,0.196,0.588,0.002851999985675017,0.0008520825427353289,3,0
202621,z05-06-02,0.065,0.195,0.006524666755770643,0.004921093807748124,3,0
202621,z05-07-02,0.369,1.107,0.09928999841213226,0.0023370012640953064,2,0
202621,z05-08-02,0.021,0.063,0.0022779999999329448,0.0009629999985918403,2,0
202621,z05-09-02,0.031,0.093,0.0015915000112727284,0.0005154999671503901,2,0
202621,z05-10-02,0.004,0.012,0.0007384999771602452,0.0003254999755881727,2,0
202621,z05-11-02,0.68,2.04,0.14594049751758575,0.004999503493309021,2,0
202621,z05-12-02,0.041,0.123,0.0033244999358430505,0.0011894999770447612,2,0
202621,z05-13-02,0.32,0.96,0.0025204999838024378,0.00031949998810887337,2,0
202621,z05-14-02,0.016,0.048,0.0011804999958258122,0.0007294999959412962,2,0
202624,z05-03-02,0.893,2.679,0.12972966540190908,0.05816565349119331,9,0
202624,z05-04-02,0.022,0.066,0.003570999988975624,0.0024430532180160906,9,0
202624,z05-05-02,0.196,0.588,0.0012638888858620906,0.0007931633527240488,9,0
202624,z05-06-02,0.065,0.195,0.0012774444484320055,0.0010288972548006027,9,0
202624,z05-07-02,0.369,1.107,0.10049077951245838,0.02005620160319388,9,0
202624,z05-08-02,0.021,0.063,0.004379333372020887,0.0032405402263620676,9,0
202624,z05-09-02,0.031,0.093,0.0017764444540565212,0.0008799450986154966,9,0
202624,z05-10-02,0.004,0.012,0.0005487777784259783,0.0003167115091004091,9,0
202624,z05-11-02,0.68,2.04,0.09579044456283252,0.023168828144560137,9,0
202624,z05-12-02,0.041,0.123,0.003440555527858022,0.0019727591009911067,9,0
202624,z05-13-02,0.32,0.96,0.0025820000252376,0.0009784767462579001,9,0
202624,z05-14-02,0.016,0.048,0.00040777777596506185,0.00033043061532091807,9,0
202625,z05-03-02,0.893,2.679,0.056597501039505005,0.003214991326275563,4,0
202625,z05-04-02,0.022,0.066,0.001262500009033829,0.000466642553663587,4,0
202625,z05-05-02,0.196,0.588,0.00045450000106939115,0.0001850155464430887,4,0
202625,z05-06-02,0.065,0.195,0.00018233333442670604,3.673629552129968e-05,3,0
202625,z05-07-02,0.369,1.107,0.08449175022542477,0.008531124659628292,4,0
202625,z05-08-02,0.021,0.063,0.0027657500468194485,0.0012616262110566787,4,0
202625,z05-09-02,0.031,0.093,0.002108749991748482,0.0008228691379972238,4,0
202625,z05-10-02,0.004,0.012,0.0003656666570653518,3.35194784670138e-05,3,0
202625,z05-11-02,0.68,2.04,0.09298400022089481,0.03286680951147227,4,0
202625,z05-12-02,0.041,0.123,0.0034604999818839133,0.0010756506134312694,4,0
202625,z05-13-02,0.32,0.96,0.004416750016389415,0.0045621840231283685,4,0
202625,z05-14-02,0.016,0.048,0.0005542499966395553,0.00036288935810664544,4,0
202703,z05-03-02,0.893,2.679,0.15759260207414627,0.03736519592558356,5,0
202703,z05-04-02,0.022,0.066,0.007195400097407401,0.006652252667077889,5,0
202703,z05-05-02,0.196,0.588,0.007608599960803986,0.007575186661317753,5,0
202703,z05-06-02,0.065,0.195,0.0056447999435476955,0.006707301644296581,5,0
202703,z05-07-02,0.369,1.107,0.13018680214881898,0.023734858111383594,5,0
202703,z05-08-02,0.021,0.063,0.0029827999649569394,0.0017418291718015624,5,0
202703,z05-09-02,0.031,0.093,0.0020447999704629183,0.0003119790804540874,5,0
202703,z05-10-02,0.004,0.012,0.0005343999975593761,0.00027534821753102593,5,0
202703,z05-11-02,0.68,2.04,0.1828102022409439,0.03405128367491624,5,0
202703,z05-12-02,0.041,0.123,0.006138599943369627,0.004235394566575494,5,0
202703,z05-13-02,0.32,0.96,0.01714939996600151,0.012529531979440003,5,0
202703,z05-14-02,0.016,0.048,0.004052600031718612,0.003500738901508987,5,0
202704,z05-03-02,0.893,2.679,0.11965389996767044,0.043577005811836114,10,0
202704,z05-04-02,0.022,0.066,0.0034917000157292932,0.003013857827193619,10,0
202704,z05-05-02,0.196,0.588,0.005701900125131942,0.006342460337039453,10,0
202704,z05-06-02,0.065,0.195,0.0019907999696442856,0.0015896868904777233,10,0
202704,z05-07-02,0.369,1.107,0.09086560010910034,0.01730025167361411,10,0
202704,z05-08-02,0.021,0.063,0.0032619999547023326,0.0022427822017963422,10,0
202704,z05-09-02,0.031,0.093,0.002106900030048564,0.0016015149023485924,10,0
202704,z05-10-02,0.004,0.012,0.0009349000116344542,0.000576461710500857,10,0
202704,z05-11-02,0.68,2.04,0.13857059925794601,0.05257950785004732,10,0
202704,z05-12-02,0.041,0.123,0.00651730002136901,0.006869324612443398,10,0
202704,z05-13-02,0.32,0.96,0.017831200105138122,0.01973271772811032,10,0
202704,z05-14-02,0.016,0.048,0.0019790000340435656,0.0019858243030396916,10,0
202940,z05-03-02,0.893,2.679,0.1315058891971906,0.058259102290359126,9,0
202940,z05-04-02,0.022,0.066,0.0027276666110588443,0.0020955037076781165,9,0
202940,z05-05-02,0.196,0.588,0.016471222398750898,0.01646991722241252,9,0
202940,z05-06-02,0.065,0.195,0.004925444406075662,0.004404298927398393,9,0
202940,z05-07-02,0.369,1.107,0.08609611044327418,0.010833579732018943,9,0
202940,z05-08-02,0.021,0.063,0.0036721111326995823,0.001268038754057065,9,0
202940,z05-09-02,0.031,0.093,0.0024879999950321186,0.0011088654659130721,9,0
202940,z05-10-02,0.004,0.012,0.0005175555512929956,0.0002160221748900308,9,0
202940,z05-11-02,0.68,2.04,0.1067283343937662,0.01929155292201358,9,0
202940,z05-12-02,0.041,0.123,0.0021845555489158463,0.0013774006710746487,9,0
202940,z05-13-02,0.32,0.96,0.005613222174967329,0.0037734704509276547,9,0
202940,z05-14-02,0.016,0.048,0.0027881110905178096,0.002066802594484333,9,0
